model,split,pooled_spearman,spearman_ci_lo,spearman_ci_hi,pooled_pearson,pooled_auroc,precision_at_5pct,per_fold_spearman_mean,per_fold_spearman_sd,n,n_folds,n_features,delta_p
no_struct,position_grouped,0.2272538173271868,0.2024643012127408,0.24935920170877765,0.1928890327764641,0.6162762692862827,0.07635467980295567,0.22737478014479934,0.03350689148765879,8117,10.0,137.0,
with_struct,position_grouped,0.23050314333683633,0.20684490858834273,0.2534513417133351,0.20282502108127645,0.6185835685589259,0.054187192118226604,0.2303680407220156,0.028501389704330794,8117,10.0,186.0,
struct_only,position_grouped,0.16838424918242945,0.14150997178194188,0.19518530705192014,0.14542187668100567,0.5895077547038745,0.04433497536945813,0.16739978222389212,0.038697084292661575,8117,10.0,49.0,
delta_with_minus_no_struct,position_grouped,0.003249326009649528,-0.00777549047993784,0.015084103855706722,,,,,,8117,,,0.608
no_struct,region_blocked,0.18972810310903307,0.15051527836149814,0.21741850178462852,0.16664751202954986,0.5946213083484837,0.04926108374384237,0.164226707032677,0.05897698771550172,8117,10.0,137.0,
with_struct,region_blocked,0.18991784966085246,0.14612376864994306,0.22599469837053798,0.173626178828052,0.5953155107069688,0.059113300492610835,0.1726943025976918,0.06260324496152032,8117,10.0,186.0,
struct_only,region_blocked,0.13573710089684746,0.08533381227019468,0.16888677957724346,0.12496189305462256,0.570006615093706,0.07635467980295567,0.10673840227087339,0.06168053626887344,8117,10.0,49.0,
delta_with_minus_no_struct,region_blocked,0.00018974655181938638,-0.011711394947141532,0.015900135661211918,,,,,,8117,,,0.812
