max_depth,max_iter,spearman,pearson,auroc
1,50,0.21640080382430343,0.19132956307994434,0.6107375853766602
1,300,0.2327219653422518,0.20374662725463907,0.618766157530297
1,1500,0.2208156864371855,0.19009365572096482,0.611597954323555
2,50,0.22582240456282088,0.19781116326776352,0.6157357270064479
2,300,0.23140915650571364,0.19762879395247562,0.6194584171299843
2,1500,0.20926652227579484,0.1749642367645242,0.6077117689049555
3,50,0.22558929747152653,0.19866790302285212,0.6148824612714069
3,300,0.22636101364994327,0.19381801902251025,0.6154188448331905
3,1500,0.19682524135063395,0.16447089117881006,0.6004086350285969
6,50,0.21472512358098,0.18541469355328075,0.6074525623835029
6,300,0.20498536995607528,0.17296011271358377,0.6029380462719005
6,1500,0.1722115477695647,0.13753689022835558,0.5864111793140871
10,50,0.21132449954876373,0.18222250310047391,0.6064497649322567
10,300,0.2011374717227924,0.165410613211307,0.6002966228416708
10,1500,0.170558293144541,0.13508155665591345,0.5865352123210734
