split,target,spearman,pearson,precision_at_5pct,auroc,n,delta_lo,delta_hi,delta_p
position_grouped,raw,0.2272538173271868,0.1928890327764641,0.07635467980295567,0.6162762692862827,8117,,,
position_grouped,rank,0.2517480067917208,0.2114414231379338,0.0665024630541872,0.6265897079195712,8117,,,
position_grouped,winsorized,0.23465553106951645,0.20024660435576155,0.059113300492610835,0.6178681476316981,8117,,,
position_grouped,rank_vs_raw_delta,0.024494189464534022,,,,8117,0.015015531946887735,0.03486967390982999,0.0
position_grouped,winsorized_vs_raw_delta,0.007401713742329646,,,,8117,0.0004492870631330942,0.015193686354251664,0.04
region_blocked,raw,0.18972810310903307,0.16664751202954986,0.04926108374384237,0.5946213083484837,8117,,,
region_blocked,rank,0.20506709655251792,0.1771690064241212,0.046798029556650245,0.6024059732061993,8117,,,
region_blocked,winsorized,0.18892090703872172,0.16473687332292197,0.034482758620689655,0.5952460874355596,8117,,,
region_blocked,rank_vs_raw_delta,0.015338993443484855,,,,8117,0.005689473227193938,0.02674603423218072,0.0
region_blocked,winsorized_vs_raw_delta,-0.0008071960703113501,,,,8117,-0.012645625555732721,0.01089139689259055,0.908
