channel,window,n_units,mean_labels_per_unit,spearman,pearson,perm_null_mean,spearman_above_null,reliability_full,ceiling,headroom,interpretable,delta_vs_baseline,delta_lo,delta_hi,delta_p
without_structure,1,1368,5.933479532163743,0.27895333348501455,0.28323985641752064,-0.005999008953792561,0.2849523424388071,0.2851450640406108,0.5339897602394739,0.2507499038219532,True,,,,
without_structure,3,456,17.80043859649123,0.3894445759239034,0.40333618537422744,-0.023460342490631562,0.41290491841453497,0.3931670633943815,0.6270303528493509,0.2236941674751235,True,,,,
without_structure,5,274,29.624087591240876,0.4306184326622284,0.43304747589551734,0.012612117809198103,0.4180063148530303,0.5093190655849629,0.7136659341631509,0.2806184582676336,True,,,,
without_structure,11,125,64.936,0.4736036866359447,0.4693514661782092,-0.012914466831665949,0.4865181534676107,0.6668309606872596,0.816597183859496,0.34724571768128676,True,,,,
without_structure,25,55,147.5818181818182,-0.7201757208910597,-0.7294910011545527,-0.3924584249037248,-0.32771729598733496,0.7845427037259083,0.8857441525214311,1.6152351536759837,False,,,,
without_structure,51,27,300.6296296296296,-0.7606009270178657,-0.7644019634241755,-0.444850251625098,-0.31575067539276774,0.8601861966069442,0.9274622345987702,1.6918641980229459,False,,,,
without_structure,137,10,811.7,-0.3531523089093172,-0.3806037139475613,,,0.9349722158617754,0.9669396133481012,1.3475433272956625,False,,,,
with_structure,1,1368,5.933479532163743,0.293504039720745,0.3029008366945474,-0.002654342842646497,0.2961583825633915,0.2851450640406108,0.5339897602394739,0.23108892354492644,True,0.019660980277026785,-0.007407507806082399,0.047132465034792556,0.175
with_structure,3,456,17.80043859649123,0.4364190226449815,0.4592587147138013,-0.009733311143538025,0.44615233378851954,0.3931670633943815,0.6270303528493509,0.16777163813554963,True,0.05592252933957387,0.012731454295998812,0.10015602467153391,0.011
with_structure,5,274,29.624087591240876,0.43105886813916017,0.43572373706404,0.005266966610032305,0.4257919015291279,0.5093190655849629,0.7136659341631509,0.27794219709911094,True,0.0026762611685226534,-0.04570911680759207,0.057007899581328285,0.886
with_structure,11,125,64.936,0.5136036866359447,0.5045244266688247,-0.015071735540264771,0.5286754221762094,0.6668309606872596,0.816597183859496,0.3120727571906713,True,0.03517296049061547,-0.016439019547763348,0.08764931127475255,0.175
with_structure,25,55,147.5818181818182,-0.7201757208910597,-0.7294910011545527,-0.3924584249037248,-0.32771729598733496,0.7845427037259083,0.8857441525214311,1.6152351536759837,False,,,,
with_structure,51,27,300.6296296296296,-0.7606009270178657,-0.7644019634241755,-0.444850251625098,-0.31575067539276774,0.8601861966069442,0.9274622345987702,1.6918641980229459,False,,,,
with_structure,137,10,811.7,-0.3531523089093172,-0.3806037139475613,,,0.9349722158617754,0.9669396133481012,1.3475433272956625,False,,,,
structure_only,1,1368,5.933479532163743,0.2664195124320938,0.27663010109625663,-0.004245271611290782,0.27066478404338457,0.2851450640406108,0.5339897602394739,0.25735965914321723,True,-0.00660975532126401,-0.05550153385328618,0.04223235226043113,0.813
structure_only,3,456,17.80043859649123,0.3267003985304112,0.36763936452795853,0.004831089675037618,0.3218693088553736,0.3931670633943815,0.6270303528493509,0.2593909883213924,True,-0.035696820846268906,-0.11212564830475065,0.04321219513134653,0.371
structure_only,5,274,29.624087591240876,0.3075566768997426,0.33583159132246004,-0.010562794506112102,0.31811947140585467,0.5093190655849629,0.7136659341631509,0.3778343428406909,True,-0.0972158845730573,-0.21066024934899535,0.014813247726537668,0.082
structure_only,11,125,64.936,0.1493975311626689,0.14810991309285945,-0.01630275028046204,0.16570028144313095,0.6668309606872596,0.816597183859496,0.6684872707666365,True,-0.32124155308534974,-0.51666990706828,-0.12214469107634825,0.002
structure_only,25,55,147.5818181818182,-0.7201757208910597,-0.7294910011545527,-0.3924584249037248,-0.32771729598733496,0.7845427037259083,0.8857441525214311,1.6152351536759837,False,,,,
structure_only,51,27,300.6296296296296,-0.7606009270178657,-0.7644019634241755,-0.444850251625098,-0.31575067539276774,0.8601861966069442,0.9274622345987702,1.6918641980229459,False,,,,
structure_only,137,10,811.7,-0.3531523089093172,-0.3806037139475613,,,0.9349722158617754,0.9669396133481012,1.3475433272956625,False,,,,
